group,variable,iaps,pofa
dotprobe,dp_bias,-0.0013 (0.036),0.0042 (0.034)
dotprobe,n_dp_valid,72.6627 (12.6628),86.9639 (14.7084)
dotprobe,pct_dp_toward,0.5004 (0.0823),0.5089 (0.0787)
dotprobe,mean_dp_toward,0.1253 (0.0467),0.1256 (0.0452)
dotprobe,mean_dp_away,0.123 (0.0409),0.1242 (0.0404)
dotprobe,var_dp_bias,0.1547 (0.0509),0.1555 (0.0498)
gaze,gaze_bias,0.0507 (0.2611),0.022 (0.1186)
gaze,init_gaze_bias,0.0026 (0.1054),-0.0007 (0.0913)
gaze,final_gaze_bias,0.0045 (0.0959),0.0043 (0.0728)
gaze,n_gaze_valid,89.7831 (1.9199),107.488 (3.5773)
gaze,n_gaze_toward,0.4814 (0.1061),0.4711 (0.0971)
gaze,pct_gaze_center,0.0615 (0.1502),0.0765 (0.1549)
gaze,mean_gaze_toward,1.0855 (0.5898),0.7561 (0.4067)
gaze,mean_gaze_away,1.055 (0.6015),0.7578 (0.4178)
gaze,var_gaze_bias,1.2676 (0.6584),0.8961 (0.455)
gaze,dp_gaze_cor,0.0049 (0.1198),-0.0011 (0.1079)
task,luminance,0.4213 (0.1673),0.4213 (0.1673)
task,m_diff_stim,58.6807 (61.2802),58.6807 (61.2802)
task,m_diff_dotloc,117.4398 (129.009),117.4398 (129.009)
