ID,Group,Value
Vision,Normal,700 (59.2)
Vision,Corrective,482 (40.8)
Right-Handed (%),Handedness,1045 (88.4)
Austin Resident (%),Austin local,1182 (100.0)
Smartphone User (%),Smartphone,1175 (99.4)
Race,Asian,175 (14.8)
Race,None of the Above,102 (8.6)
Race,White,722 (61.1)
Race,American Indian or Alaska Native,27 (2.3)
Race,Two or More Races,98 (8.3)
Race,Black or African American,55 (4.7)
Race,Native Hawaiian and Other Pacific Islander,3 (0.2)
Gender,Female,829 (70.1)
Gender,Male,321 (27.2)
Gender,Genderqueer,17 (1.4)
Gender,Other,4 (0.3)
Gender,No,2 (0.2)
Gender,Transmale,8 (0.7)
Gender,Transfemale,1 (0.1)
