participant,session,code,expName,date,os,gpu,heap.used,heap.limit,browser,isWebcamUsed,WebcamMessage,WebcamDevice,webcamSize.px,luminance,isWindowSuccess,monitorSize.px,windowSize.px,diagonalSize.in,devicePixelRatio,isPageVisible,isFullscreen,scaling,gpuFullName,gpuType,browserFullName,browserBrand,browserVersion,osFullName,osBrand,osVersion
1082,0,F98,dotprobe_js,2018-02-22 01:35:00,Windows 10,ANGLE (Intel(R) HD Graphics 530 Direct3D11 vs_5_0 ps_5_0),27.6MB,2190MB,Chrome 64,True,Success,Integrated,1280x720,0.4666666666666667,False,1280x1024,1280x1024,17.07,1,True,True,0.9142857142857144,Intel HD Graphics 530,integrated,Chrome 64,Chrome,64,Windows 10,Microsoft Windows,10
1082,10,F98,dotprobe_js,2018-03-05 18:00:00,Windows 8.1,ANGLE (Intel(R) HD Graphics 4600 Direct3D11 vs_5_0 ps_5_0),29.4MB,2190MB,Chrome 64,True,Success,C922,1280x720,0.5411764705882353,True,1920x1080,1920x1080,22.95,1,True,True,1,Intel HD Graphics 4600,integrated,Chrome 64,Chrome,64,Windows 8.1,Microsoft Windows,8.1
1082,11,F98,dotprobe_js,2018-03-07 00:57:00,Chrome OS 10323.46,Mesa DRI Intel(R) HD Graphics 515 (Skylake GT2) ,29.4MB,2060MB,Chrome 65,True,Success,USB2.0,1280x720,0.4745098039215686,True,1920x1080,1536x864,14.69,1.25,True,True,1,Intel HD Graphics 515,integrated,Chrome 65,Chrome,65,Chrome OS 10323.46,Chrome OS,10323.46
1082,12,F98,dotprobe_js,2018-03-07 18:40:00,Windows 8.1,ANGLE (Intel(R) HD Graphics 4600 Direct3D11 vs_5_0 ps_5_0),29.4MB,2190MB,Chrome 64,True,Success,C922,1280x720,0.5960784313725489,True,1920x1080,1920x1080,22.95,1,True,True,1,Intel HD Graphics 4600,integrated,Chrome 64,Chrome,64,Windows 8.1,Microsoft Windows,8.1
1082,13,F98,dotprobe_js,2018-03-09 05:16:00,Chrome OS 10323.46,Mesa DRI Intel(R) HD Graphics 515 (Skylake GT2) ,35.1MB,2060MB,Chrome 65,True,Success,USB2.0,1280x720,0.5019607843137255,True,1920x1080,1536x864,14.69,1.25,True,True,1,Intel HD Graphics 515,integrated,Chrome 65,Chrome,65,Chrome OS 10323.46,Chrome OS,10323.46
1082,14,F98,dotprobe_js,2018-03-10 06:30:00,Chrome OS 10323.46,Mesa DRI Intel(R) HD Graphics 515 (Skylake GT2) ,35.1MB,2060MB,Chrome 65,True,Success,USB2.0,1280x720,0.1176470588235294,True,1920x1080,1536x864,14.69,1.25,True,True,1,Intel HD Graphics 515,integrated,Chrome 65,Chrome,65,Chrome OS 10323.46,Chrome OS,10323.46
1082,15,F98,dotprobe_js,2018-03-12 17:01:00,Windows 8.1,ANGLE (Intel(R) HD Graphics 4600 Direct3D11 vs_5_0 ps_5_0),26MB,2190MB,Chrome 64,True,Success,C922,1280x720,0.5803921568627451,True,1920x1080,1920x1080,22.95,1,True,True,1,Intel HD Graphics 4600,integrated,Chrome 64,Chrome,64,Windows 8.1,Microsoft Windows,8.1
1082,16,F98,dotprobe_js,2018-03-14 04:24:00,Chrome OS 10323.52,Mesa DRI Intel(R) HD Graphics 515 (Skylake GT2) ,35.1MB,2060MB,Chrome 65,True,Success,USB2.0,1280x720,0.34901960784313724,True,1920x1080,1536x864,14.69,1.25,True,True,1,Intel HD Graphics 515,integrated,Chrome 65,Chrome,65,Chrome OS 10323.52,Chrome OS,10323.52
1082,17,F98,dotprobe_js,2018-03-14 18:16:00,Windows 8.1,ANGLE (Intel(R) HD Graphics 4600 Direct3D11 vs_5_0 ps_5_0),26MB,2190MB,Chrome 64,True,Success,C922,1280x720,0.5490196078431373,True,1920x1080,1920x1080,22.95,1,True,True,1,Intel HD Graphics 4600,integrated,Chrome 64,Chrome,64,Windows 8.1,Microsoft Windows,8.1
1082,18,F98,dotprobe_js,2018-03-16 06:54:00,Chrome OS 10323.52,Mesa DRI Intel(R) HD Graphics 515 (Skylake GT2) ,47.4MB,2060MB,Chrome 65,True,Success,USB2.0,1280x720,0.4980392156862745,True,1920x1080,1536x864,14.69,1.25,True,True,1,Intel HD Graphics 515,integrated,Chrome 65,Chrome,65,Chrome OS 10323.52,Chrome OS,10323.52
