order,block_display,block_file,break_display,valmean,valence,scenestim,arousal,outliers,blocknum,arousalmean,Introduction_Loop.thisRepN,Introduction_Loop.thisTrialN,Introduction_Loop.thisN,Introduction_Loop.thisIndex,block_loop.thisRepN,block_loop.thisTrialN,block_loop.thisN,block_loop.thisIndex,Trial_Loop.thisRepN,Trial_Loop.thisTrialN,Trial_Loop.thisN,Trial_Loop.thisIndex,Break_loop.thisRepN,Break_loop.thisTrialN,Break_loop.thisN,Break_loop.thisIndex,block_key.keys,block_key.rt,Break_key.keys,Break_key.rt,date,frameRate,expName,Participant,
0,inst_2,procedure\0.csv,break,5.64,Neutral,2235.bmp,Low,0,0,3.36,,,,,0,0,0,0,0,0,0,19,,,,,space,5.17504649464,,,2016_May_18_1435,119.936269791,CGP,102,
0,inst_2,procedure\0.csv,break,6.71,Positive,2030.bmp,High,0,0,4.54,,,,,0,0,0,0,0,1,1,0,,,,,,,,,2016_May_18_1435,119.936269791,CGP,102,
0,inst_2,procedure\0.csv,break,7.09,Positive,8120.bmp,High,0,0,4.85,,,,,0,0,0,0,0,2,2,11,,,,,,,,,2016_May_18_1435,119.936269791,CGP,102,
0,inst_2,procedure\0.csv,break,2.41,Negative,9340.bmp,High,0,0,5.16,,,,,0,0,0,0,0,3,3,14,,,,,,,,,2016_May_18_1435,119.936269791,CGP,102,
0,inst_2,procedure\0.csv,break,7.7,Positive,2360.bmp,Low,0,0,3.66,,,,,0,0,0,0,0,4,4,20,,,,,,,,,2016_May_18_1435,119.936269791,CGP,102,
0,inst_2,procedure\0.csv,break,7.57,Positive,5600.bmp,High,0,0,5.19,,,,,0,0,0,0,0,5,5,9,,,,,,,,,2016_May_18_1435,119.936269791,CGP,102,
0,inst_2,procedure\0.csv,break,7.02,Positive,8503.bmp,High,1,0,5.22,,,,,0,0,0,0,0,6,6,12,,,,,,,,,2016_May_18_1435,119.936269791,CGP,102,
0,inst_2,procedure\0.csv,break,4.87,Neutral,2393.bmp,Low,0,0,2.93,,,,,0,0,0,0,0,7,7,21,,,,,,,,,2016_May_18_1435,119.936269791,CGP,102,
0,inst_2,procedure\0.csv,break,6.71,Positive,1910.bmp,Low,0,0,3.29,,,,,0,0,0,0,0,8,8,15,,,,,,,,,2016_May_18_1435,119.936269791,CGP,102,
0,inst_2,procedure\0.csv,break,4.14,Neutral,2491.bmp,Low,0,0,3.41,,,,,0,0,0,0,0,9,9,22,,,,,,,,,2016_May_18_1435,119.936269791,CGP,102,
0,inst_2,procedure\0.csv,break,6.34,Positive,2560.bmp,Low,0,0,3.49,,,,,0,0,0,0,0,10,10,23,,,,,,,,,2016_May_18_1435,119.936269791,CGP,102,
0,inst_2,procedure\0.csv,break,5.27,Neutral,7550.bmp,Low,0,0,3.95,,,,,0,0,0,0,0,11,11,25,,,,,,,,,2016_May_18_1435,119.936269791,CGP,102,
0,inst_2,procedure\0.csv,break,5.68,Neutral,2020.bmp,Low,0,0,3.34,,,,,0,0,0,0,0,12,12,16,,,,,,,,,2016_May_18_1435,119.936269791,CGP,102,
0,inst_2,procedure\0.csv,break,3.34,Negative,2120.bmp,High,0,0,5.18,,,,,0,0,0,0,0,13,13,1,,,,,,,,,2016_May_18_1435,119.936269791,CGP,102,
0,inst_2,procedure\0.csv,break,2.3,Negative,3181.bmp,High,0,0,5.06,,,,,0,0,0,0,0,14,14,6,,,,,,,,,2016_May_18_1435,119.936269791,CGP,102,
0,inst_2,procedure\0.csv,break,4.63,Neutral,2215.bmp,Low,1,0,3.38,,,,,0,0,0,0,0,15,15,18,,,,,,,,,2016_May_18_1435,119.936269791,CGP,102,
