block,trial,event,eyelink_timestamp,psychopy_timestamp,cpu,ram,pupil_baseline_min,pupil_baseline_mean,pupil_baseline_max,old_pupil_sample,pupil_velocity,new_pupil_sample,cue
1,1,baseline,nan,-1.9995137501973659,nan,nan,nan,nan,nan,1216.0,0,nan,nan
1,1,baseline,nan,-1.9975117404246703,nan,nan,nan,nan,nan,1216.0,0,nan,nan
1,1,baseline,nan,-1.9955111144226976,nan,nan,nan,nan,nan,1216.0,0.0,nan,nan
1,1,baseline,nan,-1.9935099348949734,nan,nan,nan,nan,nan,1220.0,0.0,nan,nan
1,1,baseline,nan,-1.9915095856413245,nan,nan,nan,nan,nan,1220.0,4.0,nan,nan
1,1,baseline,nan,-1.9895095131359994,nan,nan,nan,nan,nan,1220.0,0.0,nan,nan
1,1,baseline,nan,-1.9875091638823505,nan,nan,nan,nan,nan,1219.0,0.0,nan,nan
1,1,baseline,nan,-1.9855074308870826,nan,nan,nan,nan,nan,1219.0,-1.0,nan,nan
1,1,baseline,nan,-1.9835051443660632,nan,nan,nan,nan,nan,1219.0,0.0,nan,nan
1,1,baseline,nan,-1.981503688119119,nan,nan,nan,nan,nan,1219.0,0.0,nan,nan
1,1,baseline,nan,-1.9795025085913949,nan,nan,nan,nan,nan,1216.0,0.0,nan,nan
1,1,baseline,nan,-1.9775013290927745,nan,nan,nan,nan,nan,1215.0,-3.0,nan,nan
1,1,baseline,nan,-1.975500426342478,nan,nan,nan,nan,nan,1215.0,-1.0,nan,nan
1,1,baseline,nan,-1.9734992468147539,nan,nan,nan,nan,nan,1212.0,0.0,nan,nan
1,1,baseline,nan,-1.9714983440644573,nan,nan,nan,nan,nan,1212.0,-3.0,nan,nan
1,1,baseline,nan,-1.9694979948108084,nan,nan,nan,nan,nan,1212.0,0.0,nan,nan
1,1,baseline,nan,-1.9674962617864367,nan,nan,nan,nan,nan,1213.0,0.0,nan,nan
1,1,baseline,nan,-1.9654950822878163,nan,nan,nan,nan,nan,1213.0,1.0,nan,nan
1,1,baseline,nan,-1.9634941795375198,nan,nan,nan,nan,nan,1210.0,0.0,nan,nan
1,1,baseline,nan,-1.9614930000097957,nan,nan,nan,nan,nan,1209.0,-3.0,nan,nan
1,1,baseline,nan,-1.9594932042527944,nan,nan,nan,nan,nan,1209.0,-1.0,nan,nan
1,1,baseline,nan,-1.957492024754174,nan,nan,nan,nan,nan,1208.0,0.0,nan,nan
1,1,baseline,nan,-1.955491952248849,nan,nan,nan,nan,nan,1207.0,-1.0,nan,nan
1,1,baseline,nan,-1.9534910494985525,nan,nan,nan,nan,nan,1207.0,-1.0,nan,nan
1,1,baseline,nan,-1.951490146719152,nan,nan,nan,nan,nan,1207.0,0.0,nan,nan
