block,trial,event,eyelink_timestamp,psychopy_timestamp,cpu,ram,pupil_baseline_min,pupil_baseline_mean,pupil_baseline_max,old_pupil_sample,pupil_velocity,new_pupil_sample,cue,blink
1,1,baseline,nan,-1.9991257466608658,nan,nan,nan,nan,nan,1786.0,0,nan,nan,nan
1,1,baseline,nan,-1.9971253973781131,nan,nan,nan,nan,nan,1784.0,0,nan,nan,nan
1,1,baseline,nan,-1.99512255738955,nan,nan,nan,nan,nan,1784.0,-2.0,nan,nan,nan
1,1,baseline,nan,-1.9931222081067972,nan,nan,nan,nan,nan,1783.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.9911204751115292,nan,nan,nan,nan,nan,1783.0,-1.0,nan,nan,nan
1,1,baseline,nan,-1.9891190188354813,nan,nan,nan,nan,nan,1787.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.9871250348514877,nan,nan,nan,nan,nan,1787.0,4.0,nan,nan,nan
1,1,baseline,nan,-1.9851166598382406,nan,nan,nan,nan,nan,1783.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.9831160338362679,nan,nan,nan,nan,nan,1778.0,-4.0,nan,nan,nan
1,1,baseline,nan,-1.9811140240635723,nan,nan,nan,nan,nan,1778.0,-5.0,nan,nan,nan
1,1,baseline,nan,-1.9791136747808196,nan,nan,nan,nan,nan,1779.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.9771127720596269,nan,nan,nan,nan,nan,1777.0,1.0,nan,nan,nan
1,1,baseline,nan,-1.9751118692802265,nan,nan,nan,nan,nan,1775.0,-2.0,nan,nan,nan
1,1,baseline,nan,-1.9731104130041786,nan,nan,nan,nan,nan,1775.0,-2.0,nan,nan,nan
1,1,baseline,nan,-1.9711084032896906,nan,nan,nan,nan,nan,1775.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.9691069470136426,nan,nan,nan,nan,nan,1770.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.967104937240947,nan,nan,nan,nan,nan,1770.0,-5.0,nan,nan,nan
1,1,baseline,nan,-1.9651026507490315,nan,nan,nan,nan,nan,1772.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.9631009177537635,nan,nan,nan,nan,nan,1772.0,2.0,nan,nan,nan
1,1,baseline,nan,-1.9610991847002879,nan,nan,nan,nan,nan,1772.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.95909745170502,nan,nan,nan,nan,nan,1772.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.9571078956942074,nan,nan,nan,nan,nan,1770.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.9550928787211888,nan,nan,nan,nan,nan,1769.0,-2.0,nan,nan,nan
1,1,baseline,nan,-1.953094189928379,nan,nan,nan,nan,nan,1769.0,-1.0,nan,nan,nan
1,1,baseline,nan,-1.9510913499398157,nan,nan,nan,nan,nan,1771.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.9490898936637677,nan,nan,nan,nan,nan,1771.0,2.0,nan,nan,nan
1,1,baseline,nan,-1.9470878838910721,nan,nan,nan,nan,nan,1773.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.9450869811698794,nan,nan,nan,nan,nan,1773.0,2.0,nan,nan,nan
1,1,baseline,nan,-1.9430846946779639,nan,nan,nan,nan,nan,1773.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.9410829616244882,nan,nan,nan,nan,nan,1770.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.9390812286292203,nan,nan,nan,nan,nan,1770.0,-3.0,nan,nan,nan
1,1,baseline,nan,-1.9370792188565247,nan,nan,nan,nan,nan,1770.0,0.0,nan,nan,nan
