x0,y0,x1,y1,image,roi,id,shape_d,valence,meanvalence,meanarousal,species,gender,behavior,object,other,resolution,position,uuid
877,953,390,860,2550,1,1,FREEHAND,positive,7.769999981,4.679999828,human,female,happy,face,couple,"(1024, 768)",rotate,25501rotate
1105,993,756,486,2550,2,2,FREEHAND,positive,7.769999981,4.679999828,human,male,happy,face,couple,"(1024, 768)",rotate,25502rotate
822,792,900,703,2691,1,1,FREEHAND,negative,3.039999962,5.849999905,nan,male,throw,rock,protest,"(1024, 768)",rotate,26911rotate
947,514,930,373,2691,2,2,FREEHAND,negative,3.039999962,5.849999905,nan,male,ready,rock,protest,"(1024, 768)",rotate,26912rotate
1047,632,632,614,4640,1,1,FREEHAND,positive,7.179999828,5.519999981,human,all,kiss,face,couple,"(1024, 768)",rotate,46401rotate
1030,918,1254,730,4640,2,2,FREEHAND,positive,7.179999828,5.519999981,human,all,hold,hands,couple,"(1024, 768)",rotate,46402rotate
722,889,504,858,4640,3,3,FREEHAND,positive,7.179999828,5.519999981,human,all,hold,hands,couple,"(1024, 768)",rotate,46403rotate
717,410,1024,156,9421,1,1,FREEHAND,negative,2.210000038,5.039999962,human,male,cry,face,helmet,"(1024, 768)",rotate,94211rotate
1033,955,812,882,9421,2,2,FREEHAND,negative,2.210000038,5.039999962,human,male,pain,arm,splint,"(1024, 768)",rotate,94212rotate
1238,414,1419,210,9421,3,3,FREEHAND,negative,2.210000038,5.039999962,human,male,pain,face,bandage,"(1024, 768)",rotate,94213rotate
