subject	block	task	trial_no	datapoint	time	condition	x	y	tx	ty	status
1	2	simple	11	1	424340	dot_20%_50%	458	1460	0	0	fixation_onset
1	2	simple	11	2	424381	dot_20%_50%	423	1392	0	0	fixation_onset
1	2	simple	11	3	424414	dot_20%_50%	46	1657	0	0	fixation_onset
1	2	simple	11	4	424447	dot_20%_50%	206	1634	0	0	fixation_onset
1	2	simple	11	5	424483	dot_20%_50%	-115	1736	0	0	fixation_onset
1	2	simple	11	6	424520	dot_20%_50%	-178	1693	0	0	fixation_onset
1	2	simple	11	7	424553	dot_20%_50%	48	1788	0	0	fixation_onset
1	2	simple	11	8	424587	dot_20%_50%	-3	1696	0	0	fixation_onset
1	2	simple	11	9	424622	dot_20%_50%	-72	1762	0	0	fixation_onset
1	2	simple	11	10	424659	dot_20%_50%	-56	1594	0	0	fixation_onset
1	2	simple	11	11	424697	dot_20%_50%	30	1532	0	0	fixation_onset
1	2	simple	11	12	424736	dot_20%_50%	49	1464	0	0	fixation_onset
1	2	simple	11	13	424778	dot_20%_50%	24	1562	0	0	fixation_onset
1	2	simple	11	14	424810	dot_20%_50%	8	1462	0	0	fixation_onset
1	2	simple	11	15	424842	dot_20%_50%	103	1479	0	0	fixation_onset
1	2	simple	11	16	424875	dot_20%_50%	-77	1559	0	0	fixation_onset
1	2	simple	11	17	424909	dot_20%_50%	-210	1606	0	0	fixation_onset
1	2	simple	11	18	424941	dot_20%_50%	-267	1679	0	0	fixation_onset
1	2	simple	11	19	424973	dot_20%_50%	-256	1722	0	0	fixation_onset
1	2	simple	11	20	425004	dot_20%_50%	-230	1712	0	0	fixation_onset
1	2	simple	11	21	425037	dot_20%_50%	-311	1755	0	0	fixation_onset
1	2	simple	11	22	425070	dot_20%_50%	145	1497	0	0	fixation_onset
1	2	simple	11	23	425103	dot_20%_50%	104	1531	0	0	fixation_onset
1	2	simple	11	24	425136	dot_20%_50%	551	1380	0	0	fixation_onset
1	2	simple	11	25	425167	dot_20%_50%	887	1087	0	0	fixation_onset
1	2	simple	11	26	425198	dot_20%_50%	783	985	0	0	fixation_onset
