subject	block	calibration_no	datapoint	time	x	y	cx	cy	distance	calibration_count
1	6	3	1	14184404	752	536	486	694	309	20
1	6	3	2	14184455	697	588	486	694	236	20
1	6	3	3	14184495	848	430	486	694	448	20
1	6	3	4	14184551	726	397	486	694	381	20
1	6	3	5	14184588	731	621	486	694	255	20
1	6	3	6	14184629	648	370	486	694	362	20
1	6	3	7	14184660	709	601	486	694	241	20
1	6	3	8	14184693	761	451	486	694	366	20
1	6	3	9	14184722	756	564	486	694	299	20
1	6	3	10	14184752	881	615	486	694	402	20
1	6	3	11	14184783	829	711	486	694	343	20
1	6	3	12	14184814	845	479	486	694	418	20
1	6	3	13	14184845	992	469	486	694	553	20
1	6	3	14	14184879	885	473	486	694	456	20
1	6	3	15	14184910	798	542	486	694	347	20
1	6	3	16	14185049	895	706	486	694	409	20
1	6	3	17	14185082	574	796	486	694	134	20
1	6	3	18	14185126	621	794	486	694	168	20
1	6	3	19	14185158	658	568	486	694	213	20
1	6	3	20	14185198	697	632	486	694	219	19
1	6	3	21	14185231	743	641	486	694	262	19
1	6	3	22	14185262	755	538	486	694	310	19
1	6	3	23	14185295	746	560	486	694	292	19
1	6	3	24	14185324	884	571	486	694	416	19
1	6	3	25	14185358	797	572	486	694	334	18
1	6	3	26	14185389	656	456	486	694	292	18
1	6	3	27	14185420	608	413	486	694	306	18
1	6	3	28	14185451	699	445	486	694	327	18
1	6	3	29	14185485	588	481	486	694	236	18
1	6	3	30	14185522	875	695	486	694	389	17
1	6	3	31	14185552	623	846	486	694	204	17
1	6	3	32	14185583	814	796	486	694	343	17
1	6	3	33	14185617	840	669	486	694	354	17
1	6	3	34	14185654	766	649	486	694	283	17
1	6	3	35	14185690	769	691	486	694	283	16
1	6	3	36	14185723	664	641	486	694	185	16
1	6	3	37	14185755	713	765	486	694	237	16
1	6	3	38	14185786	1017	718	486	694	531	16
1	6	3	39	14185822	627	609	486	694	164	15
1	6	3	40	14185852	880	642	486	694	397	15
1	6	3	41	14185882	657	570	486	694	211	15
1	6	3	42	14185914	657	771	486	694	187	15
1	6	3	43	14185944	850	699	486	694	364	15
1	6	3	44	14185979	787	623	486	694	309	14
1	6	3	45	14186010	554	728	486	694	76	14
1	6	3	46	14186045	775	643	486	694	293	14
1	6	3	47	14186077	701	724	486	694	217	14
1	6	3	48	14186106	788	717	486	694	302	14
1	6	3	49	14186247	756	829	486	694	301	13
1	6	3	50	14186279	599	666	486	694	116	13
1	6	3	51	14186315	557	851	486	694	172	12
1	6	3	52	14186349	726	759	486	694	248	12
1	6	3	53	14186382	499	878	486	694	184	12
1	6	3	54	14186417	620	780	486	694	159	12
1	6	3	55	14186459	378	791	486	694	145	12
1	6	3	56	14186511	358	897	486	694	239	11
1	6	3	57	14186541	706	617	486	694	233	11
1	6	3	58	14186572	1163	748	486	694	679	11
1	6	3	59	14186603	765	775	486	694	290	11
1	6	3	60	14186639	665	626	486	694	191	10
1	6	3	61	14186672	850	572	486	694	383	10
1	6	3	62	14186702	850	572	486	694	383	10
1	6	3	63	14186731	914	671	486	694	428	10
1	6	3	64	14186761	889	704	486	694	403	10
1	6	3	65	14186800	595	706	486	694	109	9
1	6	3	66	14186833	694	593	486	694	231	9
1	6	3	67	14186862	816	552	486	694	359	9
1	6	3	68	14186892	819	484	486	694	393	9
1	6	3	69	14186921	1152	820	486	694	677	9
1	6	3	70	14186957	429	647	486	694	73	8
1	6	3	71	14186988	396	703	486	694	90	8
1	6	3	72	14187017	442	691	486	694	44	8
1	6	3	73	14187048	215	627	486	694	279	8
1	6	3	74	14187078	572	647	486	694	98	8
1	6	3	75	14187113	621	702	486	694	135	7
1	6	3	76	14187145	459	762	486	694	73	7
1	6	3	77	14187175	371	742	486	694	124	7
1	6	3	78	14187205	283	787	486	694	223	7
1	6	3	79	14187235	409	968	486	694	284	7
1	6	3	80	14187272	807	441	486	694	408	6
1	6	3	81	14187305	807	441	486	694	408	6
1	6	3	82	14187456	569	526	486	694	187	6
1	6	3	83	14187488	383	731	486	694	109	6
1	6	3	84	14187524	261	673	486	694	225	5
1	6	3	85	14187554	139	758	486	694	352	5
1	6	3	86	14187583	241	613	486	694	258	5
1	6	3	87	14187613	627	588	486	694	176	5
1	6	3	88	14187645	786	445	486	694	389	5
1	6	3	89	14187682	87	636	486	694	403	4
1	6	3	90	14187713	94	518	486	694	429	4
1	6	3	91	14187742	94	518	486	694	429	4
1	6	3	92	14187772	411	666	486	694	80	4
1	6	3	93	14187803	616	641	486	694	140	4
1	6	3	94	14187838	570	647	486	694	96	3
1	6	3	95	14187871	536	427	486	694	271	3
1	6	3	96	14187902	683	609	486	694	214	3
1	6	3	97	14187932	692	521	486	694	269	3
1	6	3	98	14187962	672	509	486	694	262	3
1	6	3	99	14187998	672	586	486	694	215	2
1	6	3	100	14188028	839	672	486	694	353	2
1	6	3	101	14188060	583	664	486	694	101	2
1	6	3	102	14188089	547	746	486	694	80	2
1	6	3	103	14188121	674	662	486	694	190	2
1	6	3	104	14188159	655	728	486	694	172	1
1	6	3	105	14188190	245	594	486	694	260	1
1	6	3	106	14188221	407	672	486	694	82	1
1	6	3	107	14188250	472	538	486	694	156	1
1	6	3	108	14188281	713	697	486	694	227	1
