subject	block	validation_no	datapoint	time	x	y	vx	vy	distance	validation_count	valid
1	6	5	1	13806830	758	622	486	262	451	0	0
1	6	5	2	13806880	1783	642	486	262	1351	0	0
1	6	5	3	13806914	1647	796	486	262	1277	0	0
1	6	5	4	13806947	1419	802	486	262	1078	0	0
1	6	5	5	13806979	1420	880	486	262	1119	0	0
1	6	5	6	13807009	1412	644	486	262	1001	0	0
1	6	5	7	13807041	1438	561	486	262	997	0	0
1	6	5	8	13807073	1420	660	486	262	1015	0	0
1	6	5	9	13807107	806	586	486	262	455	0	0
1	6	5	10	13807139	613	370	486	262	166	0	1
1	6	5	11	13807172	535	339	486	262	91	1	1
1	6	5	12	13807205	563	448	486	262	201	2	0
1	6	5	13	13807234	498	543	486	262	281	2	0
1	6	5	14	13807266	517	438	486	262	178	2	1
1	6	5	15	13807302	564	348	486	262	116	3	1
1	6	5	16	13807335	706	666	486	262	460	4	0
1	6	5	17	13807366	879	756	486	262	631	4	0
1	6	5	18	13807398	713	504	486	262	331	4	0
1	6	5	19	13807432	1185	479	486	262	731	4	0
1	6	5	20	13807463	978	535	486	262	562	4	0
1	6	5	21	13807495	732	645	486	262	455	4	0
1	6	5	22	13807525	314	353	486	262	194	4	1
1	6	5	23	13807560	615	472	486	262	246	5	0
1	6	5	24	13807594	1121	1230	486	262	1157	5	0
1	6	5	25	13807626	876	225	486	262	391	5	0
1	6	5	26	13807656	835	166	486	262	361	5	0
1	6	5	27	13807686	417	300	486	262	78	5	1
1	6	5	28	13807717	216	472	486	262	342	6	0
1	6	5	29	13807750	602	441	486	262	213	6	0
1	6	5	30	13807782	704	661	486	262	454	6	0
1	6	5	31	13807814	596	554	486	262	312	6	0
1	6	5	32	13807846	985	498	486	262	551	6	0
1	6	5	33	13807876	971	556	486	262	567	6	0
1	6	5	34	13807910	711	577	486	262	387	6	0
1	6	5	35	13807945	477	531	486	262	269	6	0
1	6	5	36	13807978	816	411	486	262	362	6	0
1	6	5	37	13808011	885	453	486	262	442	6	0
1	6	5	38	13808044	518	595	486	262	334	6	0
1	6	5	39	13808078	518	595	486	262	334	6	0
1	6	5	40	13808109	727	714	486	262	512	6	0
1	6	5	41	13808257	853	544	486	262	462	6	0
1	6	5	42	13808292	534	717	486	262	457	6	0
1	6	5	43	13808323	596	466	486	262	231	6	0
1	6	5	44	13808356	699	451	486	262	284	6	0
1	6	5	45	13808386	851	598	486	262	496	6	0
1	6	5	46	13808416	1061	522	486	262	631	6	0
1	6	5	47	13808447	1107	473	486	262	655	6	0
1	6	5	48	13808481	1104	508	486	262	665	6	0
1	6	5	49	13808512	986	518	486	262	561	6	0
1	6	5	50	13808541	1068	564	486	262	655	6	0
1	6	5	51	13808572	812	618	486	262	482	6	0
1	6	5	52	13808604	712	601	486	262	407	6	0
1	6	5	53	13808635	712	628	486	262	430	6	0
1	6	5	54	13808670	784	578	486	262	434	6	0
1	6	5	55	13808703	734	591	486	262	412	6	0
1	6	5	56	13808734	779	570	486	262	425	6	0
1	6	5	57	13808766	805	578	486	262	449	6	0
1	6	5	58	13808799	749	559	486	262	396	6	0
1	6	5	59	13808831	582	547	486	262	300	6	0
1	6	5	60	13808863	618	585	486	262	348	6	0
1	6	5	61	13808895	1104	564	486	262	687	6	0
1	6	5	62	13808927	973	589	486	262	586	6	0
1	6	5	63	13808960	931	571	486	262	541	6	0
1	6	5	64	13808993	984	633	486	262	621	6	0
1	6	5	65	13809026	880	597	486	262	517	6	0
1	6	5	66	13809059	969	567	486	262	571	6	0
1	6	5	67	13809090	968	436	486	262	512	6	0
1	6	5	68	13809124	693	661	486	262	449	6	0
1	6	5	69	13809154	1137	543	486	262	709	6	0
1	6	5	70	13809184	738	562	486	262	391	6	0
1	6	5	71	13809215	559	576	486	262	322	6	0
1	6	5	72	13809247	559	576	486	262	322	6	0
1	6	5	73	13809278	731	627	486	262	439	6	0
1	6	5	74	13809314	727	623	486	262	434	6	0
1	6	5	75	13809347	792	606	486	262	460	6	0
1	6	5	76	13809377	795	588	486	262	449	6	0
1	6	5	77	13809407	795	588	486	262	449	6	0
1	6	5	78	13809441	860	535	486	262	463	6	0
1	6	5	79	13809474	689	581	486	262	378	6	0
1	6	5	80	13809505	699	581	486	262	383	6	0
1	6	5	81	13809635	742	417	486	262	299	6	0
1	6	5	82	13809670	393	481	486	262	237	6	0
1	6	5	83	13809705	547	473	486	262	219	6	0
1	6	5	84	13809739	875	584	486	262	504	6	0
1	6	5	85	13809775	724	733	486	262	527	6	0
1	6	5	86	13809812	755	753	486	262	559	6	0
1	6	5	87	13809851	1014	653	486	262	657	6	0
1	6	5	88	13809894	969	611	486	262	595	6	0
1	6	5	89	13809936	866	585	486	262	498	6	0
1	6	5	90	13809973	918	524	486	262	505	6	0
1	6	5	91	13810005	622	555	486	262	323	6	0
1	6	5	92	13810037	622	555	486	262	323	6	0
1	6	5	93	13810068	639	674	486	262	439	6	0
1	6	5	94	13810103	516	673	486	262	412	6	0
1	6	5	95	13810134	478	642	486	262	380	6	0
1	6	5	96	13810165	613	756	486	262	510	6	0
1	6	5	97	13810197	828	628	486	262	500	6	0
1	6	5	98	13810228	709	661	486	262	457	6	0
1	6	5	99	13810260	860	656	486	262	543	6	0
1	6	5	100	13810293	825	703	486	262	556	6	0
1	6	5	101	13810325	741	674	486	262	484	6	0
1	6	5	102	13810357	617	718	486	262	474	6	0
1	6	5	103	13810389	584	711	486	262	459	6	0
1	6	5	104	13810422	634	752	486	262	511	6	0
1	6	5	105	13810454	708	701	486	262	491	6	0
1	6	5	106	13810486	795	689	486	262	527	6	0
1	6	5	107	13810517	762	704	486	262	521	6	0
1	6	5	108	13810550	818	703	486	262	552	6	0
1	6	5	109	13810583	800	685	486	262	526	6	0
1	6	5	110	13810615	739	731	486	262	532	6	0
1	6	5	111	13810646	810	692	486	262	538	6	0
1	6	5	112	13810677	572	706	486	262	452	6	0
1	6	5	113	13810709	701	724	486	262	509	6	0
1	6	5	114	13810742	638	707	486	262	470	6	0
1	6	5	115	13810775	620	670	486	262	429	6	0
