Image,Emotion,Duration,imgNum,Directory,Type,Description,IAPSID
2102.jpg,neutral,4500,2102,src/img/stim/2102.jpg,iaps,ManonDeck,n0
2393.jpg,neutral,4500,2393,src/img/stim/2393.jpg,iaps,FactoryWork,n1
2745.jpg,neutral,4500,2745,src/img/stim/2745.jpg,iaps,WomanGroc,n2
2850.jpg,neutral,4500,2850,src/img/stim/2850.jpg,iaps,LadyLookUp,n3
5390.jpg,neutral,4500,5390,src/img/stim/5390.jpg,iaps,RowBoats,n4
5731.jpg,neutral,4500,5731,src/img/stim/5731.jpg,iaps,BlueDoor,n5
7009.jpg,neutral,4500,7009,src/img/stim/7009.jpg,iaps,BlueMug,n6
7041.jpg,neutral,4500,7041,src/img/stim/7041.jpg,iaps,WoodBaskets,n7
7053.jpg,neutral,4500,7053,src/img/stim/7053.jpg,iaps,CandleStick,n8
7493.jpg,neutral,4500,7493,src/img/stim/7493.jpg,iaps,ManonCornr,n9
2141.jpg,sad,4500,2141,src/img/stim/2141.jpg,iaps,CryingOld,s0
2205.jpg,sad,4500,2205,src/img/stim/2205.jpg,iaps,SadOldMan,s1
2276.jpg,sad,4500,2276,src/img/stim/2276.jpg,iaps,CryingGirl,s2
2455.jpg,sad,4500,2455,src/img/stim/2455.jpg,iaps,SadGirls,s3
2700.jpg,sad,4500,2700,src/img/stim/2700.jpg,iaps,SadLadies,s4
2703.jpg,sad,4500,2703,src/img/stim/2703.jpg,iaps,SadKids,s5
2799.jpg,sad,4500,2799,src/img/stim/2799.jpg,iaps,Funeral,s6
2900.jpg,sad,4500,2900,src/img/stim/2900.jpg,iaps,CryingBoy,s7
9421.jpg,sad,4500,9421,src/img/stim/9421.jpg,iaps,CryingSoldier,s8
9530.jpg,sad,4500,9530,src/img/stim/9530.jpg,iaps,DirtyKids,s9
