nontarget,target,order,Introduction_Loop.thisRepN,Introduction_Loop.thisTrialN,Introduction_Loop.thisN,Introduction_Loop.thisIndex,Practice_intro_loop.thisRepN,Practice_intro_loop.thisTrialN,Practice_intro_loop.thisN,Practice_intro_loop.thisIndex,Practice_loop.thisRepN,Practice_loop.thisTrialN,Practice_loop.thisN,Practice_loop.thisIndex,Set_loop.thisRepN,Set_loop.thisTrialN,Set_loop.thisN,Set_loop.thisIndex,stimuli_key.keys,stimuli_key.corr,date,frameRate,expName,session,participant,
male_neutral_048,outdoor_048,1,,,,,,,,,0,0,0,2,,,,,None,0,2017_Jun_13_1533,59.5575131645,SART,001,004,
female_neutral_047,outdoor_052,1,,,,,,,,,0,1,1,6,,,,,None,0,2017_Jun_13_1533,59.5575131645,SART,001,004,
male_neutral_049,outdoor_049,1,,,,,,,,,0,2,2,3,,,,,None,0,2017_Jun_13_1533,59.5575131645,SART,001,004,
female_neutral_049,outdoor_054,1,,,,,,,,,0,3,3,8,,,,,None,0,2017_Jun_13_1533,59.5575131645,SART,001,004,
male_neutral_046,outdoor_046,1,,,,,,,,,0,4,4,0,,,,,None,0,2017_Jun_13_1533,59.5575131645,SART,001,004,
male_neutral_050,outdoor_050,1,,,,,,,,,0,5,5,4,,,,,None,0,2017_Jun_13_1533,59.5575131645,SART,001,004,
female_neutral_050,outdoor_055,1,,,,,,,,,0,6,6,9,,,,,None,0,2017_Jun_13_1533,59.5575131645,SART,001,004,
female_neutral_046,outdoor_051,1,,,,,,,,,0,7,7,5,,,,,None,0,2017_Jun_13_1533,59.5575131645,SART,001,004,
female_neutral_048,outdoor_053,1,,,,,,,,,0,8,8,7,,,,,None,0,2017_Jun_13_1533,59.5575131645,SART,001,004,
male_neutral_047,outdoor_047,1,,,,,,,,,0,9,9,1,,,,,None,0,2017_Jun_13_1533,59.5575131645,SART,001,004,
