target,nontarget,order
outdoor_028,female_neutral_022,4
outdoor_032,female_neutral_031,4
outdoor_009,male_neutral_006,4
outdoor_022,female_neutral_009,4
indoor_026,male_neutral_019,4
outdoor_012,male_neutral_036,4
outdoor_024,female_neutral_043,4
outdoor_026,male_neutral_028,4
outdoor_039,male_neutral_045,4
outdoor_021,female_neutral_030,4
outdoor_019,male_neutral_042,4
outdoor_004,female_neutral_020,4
outdoor_036,female_neutral_038,4
outdoor_030,female_neutral_015,4
outdoor_011,female_neutral_032,4
outdoor_027,male_neutral_008,4
outdoor_016,female_neutral_016,4
outdoor_023,male_neutral_033,4
outdoor_033,male_neutral_043,4
outdoor_031,female_neutral_028,4
outdoor_001,male_neutral_014,4
outdoor_044,female_neutral_037,4
outdoor_002,female_neutral_044,4
outdoor_034,male_neutral_037,4
outdoor_010,male_neutral_024,4
outdoor_025,female_neutral_034,4
outdoor_018,female_neutral_045,4
outdoor_006,female_neutral_021,4
outdoor_013,male_neutral_022,4
outdoor_043,male_neutral_016,4
outdoor_042,male_neutral_041,4
outdoor_007,male_neutral_026,4
outdoor_015,male_neutral_004,4
indoor_035,male_neutral_003,4
outdoor_045,female_neutral_004,4
outdoor_008,male_neutral_027,4
outdoor_040,female_neutral_012,4
outdoor_017,female_neutral_029,4
outdoor_005,male_neutral_017,4
outdoor_035,male_neutral_040,4
indoor_018,male_neutral_023,4
outdoor_038,female_neutral_006,4
indoor_029,female_neutral_035,4
outdoor_020,male_neutral_009,4
outdoor_014,female_neutral_018,4
outdoor_003,female_neutral_023,4
outdoor_029,male_neutral_011,4
indoor_005,female_neutral_003,4
outdoor_041,female_neutral_040,4
outdoor_037,male_neutral_007,4
