target,nontarget
male_neutral_028,indoor_036
male_neutral_031,indoor_013
male_neutral_005,outdoor_018
male_neutral_018,outdoor_034
male_neutral_034,indoor_045
male_neutral_032,indoor_034
male_neutral_015,outdoor_038
female_neutral_030,indoor_004
female_neutral_004,indoor_006
male_neutral_003,outdoor_044
male_neutral_033,outdoor_012
male_neutral_037,outdoor_040
male_neutral_007,indoor_039
male_neutral_039,indoor_026
male_neutral_020,indoor_038
male_neutral_004,outdoor_008
male_neutral_040,outdoor_025
male_neutral_002,outdoor_009
male_neutral_009,outdoor_014
male_neutral_023,indoor_032
female_neutral_024,indoor_018
male_neutral_025,outdoor_005
male_neutral_042,indoor_040
male_neutral_006,indoor_016
male_neutral_011,indoor_043
female_neutral_021,outdoor_042
male_neutral_029,outdoor_027
male_neutral_022,indoor_024
male_neutral_035,outdoor_007
male_neutral_038,indoor_027
female_neutral_001,indoor_041
male_neutral_026,outdoor_010
male_neutral_008,outdoor_020
male_neutral_010,indoor_029
male_neutral_013,indoor_044
male_neutral_014,outdoor_011
male_neutral_045,outdoor_013
male_neutral_001,outdoor_023
male_neutral_043,outdoor_036
male_neutral_016,indoor_005
male_neutral_036,indoor_025
male_neutral_021,outdoor_022
male_neutral_017,indoor_023
male_neutral_024,indoor_035
male_neutral_041,indoor_001
male_neutral_027,outdoor_017
male_neutral_012,indoor_033
male_neutral_019,outdoor_039
male_neutral_044,outdoor_019
male_neutral_030,outdoor_031
