target,nontarget
indoor_032,female_neutral_001
outdoor_043,female_neutral_006
outdoor_005,male_neutral_013
outdoor_028,female_neutral_007
outdoor_020,female_neutral_023
outdoor_024,female_neutral_029
outdoor_025,female_neutral_017
outdoor_009,female_neutral_027
outdoor_031,male_neutral_036
outdoor_039,female_neutral_021
outdoor_007,female_neutral_044
outdoor_040,male_neutral_031
outdoor_036,male_neutral_042
outdoor_018,male_neutral_043
outdoor_033,female_neutral_011
outdoor_019,male_neutral_025
outdoor_023,male_neutral_008
outdoor_026,male_neutral_021
indoor_035,female_neutral_042
outdoor_038,female_neutral_004
outdoor_021,male_neutral_020
outdoor_042,male_neutral_004
outdoor_044,female_neutral_020
outdoor_008,male_neutral_017
outdoor_030,female_neutral_031
outdoor_012,male_neutral_038
outdoor_016,female_neutral_045
outdoor_035,female_neutral_033
outdoor_034,female_neutral_009
outdoor_013,female_neutral_039
outdoor_037,male_neutral_035
indoor_003,female_neutral_008
outdoor_011,male_neutral_005
indoor_006,female_neutral_012
outdoor_017,male_neutral_022
outdoor_010,male_neutral_019
outdoor_004,male_neutral_034
outdoor_027,male_neutral_044
outdoor_045,male_neutral_023
outdoor_001,male_neutral_033
outdoor_002,female_neutral_030
outdoor_029,male_neutral_007
outdoor_014,male_neutral_015
outdoor_006,female_neutral_025
outdoor_041,male_neutral_037
outdoor_022,female_neutral_026
outdoor_032,male_neutral_014
indoor_002,female_neutral_041
outdoor_003,male_neutral_027
outdoor_015,female_neutral_022
