target,nontarget
male_neutral_007,outdoor_008
male_neutral_042,indoor_005
male_neutral_006,indoor_031
male_neutral_030,outdoor_027
male_neutral_024,outdoor_045
male_neutral_016,indoor_034
male_neutral_020,outdoor_022
male_neutral_045,outdoor_002
male_neutral_028,indoor_019
male_neutral_015,outdoor_003
male_neutral_033,indoor_041
male_neutral_035,indoor_021
male_neutral_027,outdoor_035
male_neutral_029,indoor_014
male_neutral_022,indoor_015
female_neutral_008,indoor_006
male_neutral_012,indoor_044
male_neutral_036,indoor_012
male_neutral_019,indoor_040
male_neutral_025,outdoor_028
male_neutral_032,outdoor_004
female_neutral_002,outdoor_018
male_neutral_005,indoor_038
female_neutral_003,indoor_032
male_neutral_004,indoor_011
male_neutral_043,outdoor_029
male_neutral_002,indoor_039
female_neutral_024,indoor_042
male_neutral_041,indoor_024
male_neutral_013,indoor_025
male_neutral_011,indoor_028
male_neutral_040,outdoor_043
male_neutral_038,outdoor_006
male_neutral_014,outdoor_012
male_neutral_031,outdoor_001
male_neutral_010,outdoor_037
male_neutral_017,outdoor_042
male_neutral_009,outdoor_020
male_neutral_037,indoor_016
male_neutral_044,outdoor_026
female_neutral_019,outdoor_023
male_neutral_034,outdoor_017
male_neutral_023,indoor_045
male_neutral_039,outdoor_019
male_neutral_018,indoor_036
male_neutral_001,indoor_037
male_neutral_026,outdoor_038
male_neutral_021,outdoor_021
male_neutral_003,outdoor_031
male_neutral_008,indoor_029
