target,nontarget,order
male_neutral_033,outdoor_016,3
male_neutral_026,outdoor_031,3
male_neutral_001,indoor_024,3
male_neutral_042,outdoor_021,3
male_neutral_040,outdoor_020,3
female_neutral_003,indoor_038,3
male_neutral_035,outdoor_035,3
male_neutral_024,outdoor_033,3
male_neutral_017,indoor_005,3
male_neutral_004,indoor_036,3
male_neutral_021,outdoor_032,3
male_neutral_044,indoor_025,3
male_neutral_032,outdoor_018,3
male_neutral_038,indoor_042,3
male_neutral_027,outdoor_019,3
male_neutral_010,indoor_010,3
male_neutral_028,outdoor_009,3
male_neutral_020,outdoor_034,3
male_neutral_015,indoor_027,3
male_neutral_003,indoor_013,3
female_neutral_035,outdoor_022,3
male_neutral_016,outdoor_027,3
male_neutral_002,indoor_018,3
male_neutral_005,outdoor_042,3
male_neutral_031,indoor_041,3
male_neutral_037,outdoor_040,3
male_neutral_023,outdoor_013,3
male_neutral_011,outdoor_036,3
female_neutral_031,indoor_045,3
male_neutral_041,outdoor_014,3
male_neutral_019,indoor_029,3
male_neutral_030,indoor_020,3
female_neutral_025,indoor_015,3
male_neutral_022,indoor_012,3
male_neutral_013,outdoor_008,3
male_neutral_007,outdoor_015,3
male_neutral_039,indoor_023,3
male_neutral_012,outdoor_002,3
male_neutral_045,outdoor_004,3
male_neutral_034,indoor_016,3
male_neutral_029,indoor_014,3
male_neutral_014,outdoor_012,3
male_neutral_036,indoor_034,3
male_neutral_025,indoor_035,3
female_neutral_045,indoor_033,3
male_neutral_043,outdoor_041,3
male_neutral_008,indoor_007,3
male_neutral_009,outdoor_003,3
male_neutral_006,indoor_021,3
male_neutral_018,indoor_001,3
