target,nontarget,order
outdoor_028,female_neutral_012,6
outdoor_045,female_neutral_036,6
outdoor_008,female_neutral_032,6
outdoor_017,male_neutral_041,6
outdoor_013,female_neutral_037,6
outdoor_036,female_neutral_042,6
outdoor_020,male_neutral_032,6
outdoor_043,male_neutral_019,6
outdoor_004,female_neutral_023,6
outdoor_022,female_neutral_041,6
outdoor_025,female_neutral_014,6
outdoor_023,male_neutral_011,6
outdoor_024,male_neutral_005,6
outdoor_040,male_neutral_010,6
outdoor_021,female_neutral_045,6
outdoor_002,male_neutral_022,6
outdoor_035,male_neutral_030,6
outdoor_038,female_neutral_031,6
outdoor_042,female_neutral_011,6
outdoor_039,male_neutral_023,6
outdoor_041,male_neutral_012,6
indoor_014,female_neutral_009,6
outdoor_006,female_neutral_018,6
outdoor_026,female_neutral_025,6
outdoor_027,male_neutral_045,6
outdoor_034,female_neutral_039,6
outdoor_033,male_neutral_008,6
outdoor_018,female_neutral_026,6
outdoor_029,male_neutral_007,6
outdoor_010,male_neutral_024,6
outdoor_032,female_neutral_003,6
outdoor_031,male_neutral_003,6
outdoor_014,male_neutral_014,6
indoor_009,male_neutral_018,6
indoor_025,male_neutral_004,6
indoor_007,female_neutral_013,6
outdoor_037,male_neutral_039,6
outdoor_016,male_neutral_031,6
outdoor_030,male_neutral_027,6
outdoor_007,female_neutral_038,6
outdoor_019,male_neutral_017,6
outdoor_015,female_neutral_043,6
outdoor_044,female_neutral_005,6
outdoor_009,female_neutral_019,6
outdoor_003,female_neutral_027,6
outdoor_012,male_neutral_016,6
indoor_042,male_neutral_029,6
outdoor_001,male_neutral_042,6
outdoor_011,female_neutral_007,6
outdoor_005,female_neutral_024,6
