target,nontarget
male_neutral_018,indoor_029
female_neutral_032,outdoor_024
male_neutral_019,indoor_020
male_neutral_028,indoor_034
male_neutral_038,outdoor_020
male_neutral_002,indoor_028
male_neutral_001,outdoor_005
female_neutral_001,outdoor_007
male_neutral_034,outdoor_001
male_neutral_026,outdoor_023
male_neutral_031,outdoor_021
male_neutral_025,outdoor_043
male_neutral_027,outdoor_029
male_neutral_043,outdoor_042
male_neutral_029,outdoor_011
male_neutral_013,indoor_041
female_neutral_026,indoor_012
male_neutral_041,indoor_018
male_neutral_024,outdoor_018
male_neutral_030,indoor_005
male_neutral_037,outdoor_040
male_neutral_023,outdoor_032
male_neutral_011,indoor_033
male_neutral_010,outdoor_039
male_neutral_008,outdoor_027
male_neutral_007,indoor_009
male_neutral_009,outdoor_004
male_neutral_032,indoor_025
male_neutral_045,outdoor_026
male_neutral_012,indoor_031
male_neutral_039,indoor_013
female_neutral_030,indoor_035
male_neutral_005,indoor_044
male_neutral_004,indoor_045
male_neutral_016,indoor_016
male_neutral_021,indoor_008
male_neutral_014,indoor_027
male_neutral_044,outdoor_014
female_neutral_009,outdoor_022
male_neutral_017,indoor_002
male_neutral_036,indoor_036
male_neutral_006,outdoor_028
male_neutral_033,indoor_010
male_neutral_003,outdoor_025
male_neutral_040,indoor_017
male_neutral_042,outdoor_041
male_neutral_022,indoor_024
male_neutral_035,outdoor_036
male_neutral_020,indoor_011
male_neutral_015,outdoor_045
