target,nontarget
outdoor_041,female_neutral_003
outdoor_009,female_neutral_036
outdoor_011,male_neutral_038
outdoor_038,male_neutral_032
outdoor_042,male_neutral_017
indoor_009,male_neutral_016
outdoor_018,male_neutral_013
outdoor_045,female_neutral_023
outdoor_040,male_neutral_041
indoor_002,male_neutral_028
outdoor_007,female_neutral_012
outdoor_027,female_neutral_045
outdoor_032,female_neutral_044
outdoor_015,male_neutral_010
indoor_001,male_neutral_031
outdoor_020,female_neutral_021
outdoor_039,female_neutral_020
outdoor_026,male_neutral_004
outdoor_022,male_neutral_019
indoor_005,female_neutral_043
outdoor_034,male_neutral_006
outdoor_010,male_neutral_011
outdoor_004,female_neutral_009
outdoor_006,male_neutral_003
outdoor_023,male_neutral_001
outdoor_031,female_neutral_014
outdoor_003,male_neutral_018
outdoor_044,female_neutral_029
outdoor_043,female_neutral_001
outdoor_001,female_neutral_019
outdoor_028,female_neutral_028
outdoor_025,male_neutral_040
outdoor_005,male_neutral_030
outdoor_037,female_neutral_006
indoor_033,male_neutral_015
outdoor_008,female_neutral_041
outdoor_002,female_neutral_010
outdoor_024,female_neutral_034
outdoor_014,male_neutral_022
outdoor_016,female_neutral_026
outdoor_033,female_neutral_005
outdoor_029,male_neutral_020
outdoor_035,male_neutral_014
outdoor_030,male_neutral_002
outdoor_021,male_neutral_029
outdoor_017,male_neutral_033
outdoor_013,female_neutral_039
outdoor_012,female_neutral_008
outdoor_019,female_neutral_037
outdoor_036,female_neutral_031
