target,nontarget,order
male_sad_036,outdoor_040,0
male_sad_022,outdoor_010,0
male_sad_028,indoor_023,0
male_sad_003,outdoor_005,0
male_sad_014,indoor_017,0
male_sad_034,outdoor_044,0
male_sad_018,outdoor_014,0
male_sad_024,indoor_045,0
male_sad_023,outdoor_002,0
male_sad_005,outdoor_008,0
female_sad_027,indoor_016,0
male_sad_019,outdoor_012,0
male_sad_027,outdoor_024,0
male_sad_039,indoor_013,0
male_sad_033,indoor_025,0
male_sad_008,indoor_009,0
male_sad_006,indoor_028,0
male_sad_017,indoor_038,0
male_sad_002,indoor_035,0
female_sad_033,indoor_003,0
male_sad_015,indoor_034,0
male_sad_029,indoor_027,0
male_sad_042,outdoor_006,0
male_sad_040,outdoor_011,0
male_sad_010,indoor_007,0
male_sad_035,outdoor_016,0
male_sad_030,outdoor_035,0
male_sad_038,indoor_021,0
male_sad_037,outdoor_027,0
male_sad_043,outdoor_038,0
male_sad_020,indoor_044,0
male_sad_011,indoor_005,0
male_sad_032,outdoor_023,0
male_sad_026,indoor_032,0
male_sad_031,outdoor_003,0
male_sad_044,indoor_020,0
male_sad_001,outdoor_013,0
female_sad_014,outdoor_030,0
male_sad_025,outdoor_029,0
male_sad_016,indoor_019,0
male_sad_045,indoor_026,0
female_sad_020,outdoor_043,0
male_sad_007,outdoor_015,0
male_sad_021,outdoor_001,0
male_sad_013,outdoor_042,0
male_sad_004,indoor_033,0
male_sad_009,indoor_036,0
male_sad_041,outdoor_018,0
female_sad_039,indoor_037,0
male_sad_012,indoor_018,0
