target,nontarget,order
male_neutral_033,indoor_008,2
male_neutral_032,indoor_037,2
female_neutral_044,outdoor_023,2
male_neutral_039,indoor_018,2
male_neutral_026,outdoor_030,2
male_neutral_019,indoor_034,2
male_neutral_024,outdoor_015,2
male_neutral_038,outdoor_005,2
male_neutral_035,indoor_044,2
male_neutral_025,outdoor_021,2
male_neutral_015,indoor_016,2
male_neutral_005,indoor_029,2
male_neutral_012,outdoor_010,2
male_neutral_010,outdoor_004,2
male_neutral_016,outdoor_013,2
male_neutral_011,outdoor_028,2
male_neutral_040,indoor_011,2
male_neutral_003,outdoor_022,2
male_neutral_017,outdoor_027,2
male_neutral_018,indoor_012,2
male_neutral_007,indoor_009,2
male_neutral_022,outdoor_019,2
male_neutral_020,outdoor_029,2
male_neutral_009,indoor_020,2
female_neutral_022,indoor_024,2
male_neutral_027,outdoor_038,2
male_neutral_006,outdoor_016,2
male_neutral_031,indoor_025,2
male_neutral_013,outdoor_017,2
male_neutral_002,outdoor_033,2
male_neutral_014,indoor_038,2
male_neutral_042,indoor_015,2
male_neutral_004,indoor_033,2
male_neutral_034,outdoor_002,2
male_neutral_001,indoor_036,2
male_neutral_041,indoor_026,2
male_neutral_043,outdoor_018,2
female_neutral_012,outdoor_035,2
male_neutral_045,outdoor_006,2
male_neutral_023,indoor_035,2
male_neutral_030,outdoor_034,2
male_neutral_037,outdoor_001,2
male_neutral_044,indoor_031,2
male_neutral_008,indoor_004,2
female_neutral_036,outdoor_007,2
female_neutral_028,indoor_005,2
male_neutral_029,indoor_010,2
male_neutral_028,indoor_039,2
male_neutral_021,indoor_002,2
male_neutral_036,outdoor_044,2
