target,nontarget,order
outdoor_013,female_sad_040,5
outdoor_042,male_sad_016,5
outdoor_010,female_sad_012,5
outdoor_034,male_sad_021,5
outdoor_045,male_sad_041,5
outdoor_019,male_sad_043,5
outdoor_022,female_sad_026,5
indoor_015,male_sad_011,5
outdoor_032,female_sad_038,5
outdoor_020,female_sad_016,5
outdoor_003,male_sad_007,5
outdoor_043,male_sad_015,5
outdoor_040,female_sad_021,5
outdoor_027,male_sad_014,5
outdoor_015,female_sad_011,5
outdoor_012,male_sad_025,5
outdoor_028,female_sad_044,5
outdoor_026,female_sad_043,5
indoor_014,male_sad_030,5
outdoor_031,female_sad_001,5
outdoor_009,male_sad_009,5
outdoor_014,male_sad_008,5
outdoor_038,female_sad_002,5
outdoor_041,male_sad_001,5
outdoor_021,male_sad_034,5
indoor_022,female_sad_039,5
outdoor_039,male_sad_019,5
outdoor_007,female_sad_022,5
outdoor_023,female_sad_035,5
outdoor_035,female_sad_034,5
outdoor_033,male_sad_013,5
outdoor_044,female_sad_005,5
outdoor_011,female_sad_045,5
outdoor_017,female_sad_004,5
indoor_041,female_sad_024,5
outdoor_030,male_sad_045,5
outdoor_029,female_sad_037,5
outdoor_024,female_sad_031,5
indoor_021,male_sad_042,5
outdoor_025,male_sad_038,5
outdoor_008,male_sad_033,5
outdoor_002,female_sad_008,5
outdoor_001,female_sad_014,5
outdoor_037,female_sad_025,5
outdoor_036,male_sad_036,5
outdoor_006,female_sad_029,5
outdoor_016,male_sad_037,5
outdoor_004,male_sad_039,5
outdoor_005,male_sad_020,5
outdoor_018,male_sad_006,5
