2017-06-19 17:06:03 DEBUG root Windows 7
2017-06-19 17:06:03 DEBUG root Intel(R) Core(TM) i7-4771 CPU @ 3.50GHz
2017-06-19 17:06:03 DEBUG root GeForce GTX 780M
2017-06-19 17:06:54 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:54 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:06:54 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:54 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:06:54 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:54 DEBUG PIL.PngImagePlugin STREAM IDAT 41 60181
2017-06-19 17:06:55 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:55 DEBUG PIL.PngImagePlugin STREAM IDAT 41 54716
2017-06-19 17:06:55 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:55 DEBUG PIL.PngImagePlugin STREAM IDAT 41 56273
2017-06-19 17:06:55 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:55 DEBUG PIL.PngImagePlugin STREAM IDAT 41 63864
2017-06-19 17:06:55 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:55 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:06:55 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:55 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:06:55 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:55 DEBUG PIL.PngImagePlugin STREAM IDAT 41 56695
2017-06-19 17:06:55 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:55 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:06:55 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:55 DEBUG PIL.PngImagePlugin STREAM IDAT 41 53876
2017-06-19 17:06:55 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:55 DEBUG PIL.PngImagePlugin STREAM IDAT 41 53573
2017-06-19 17:06:55 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:55 DEBUG PIL.PngImagePlugin STREAM IDAT 41 52335
2017-06-19 17:06:55 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:55 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:06:55 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:55 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:06:55 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:55 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:06:55 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:55 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:06:55 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:55 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:06:55 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:55 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:06:55 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:55 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:06:55 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:55 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:06:55 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:55 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:06:55 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:55 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:06:55 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:55 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:06:55 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:55 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:06:56 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:56 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:06:56 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:56 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:06:56 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:56 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:06:56 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:56 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:06:56 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:56 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:06:56 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:56 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:06:56 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:56 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:06:56 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:56 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:06:56 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:56 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:06:56 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:56 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:06:56 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:56 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
